PRCP_in,SNOW_in,SNWD_in,TMAX_f,TMIN_f,year,month,day,DATE
0,0,0,98,60,1895,6,14,1895-06-14
0,0,0,99,64,1895,6,15,1895-06-15
0,0,0,100,61,1895,6,16,1895-06-16
0,0,0,98,57,1895,6,17,1895-06-17
0,0,0,98,66,1895,6,18,1895-06-18
0,0,0,97,56,1895,6,19,1895-06-19
0,0,0,100,56,1895,6,20,1895-06-20
0,0,0,104,58,1895,6,21,1895-06-21
0,0,0,104,66,1895,6,22,1895-06-22
0,0,0,105,66,1895,6,23,1895-06-23
0,0,0,104,68,1895,6,24,1895-06-24
0,0,0,106,64,1895,6,25,1895-06-25
0,0,0,108,72,1895,6,26,1895-06-26
0.01,0,0,102,79,1895,6,27,1895-06-27
0,0,0,100,75,1895,6,28,1895-06-28
0,0,0,102,70,1895,6,29,1895-06-29
0,0,0,103,70,1895,6,30,1895-06-30
0,0,0,102,66,1895,7,1,1895-07-01
0,0,0,102,71,1895,7,2,1895-07-02
0,0,0,101,76,1895,7,3,1895-07-03
0,0,0,102,74,1895,7,4,1895-07-04
0,0,0,102,73,1895,7,5,1895-07-05
0,0,0,103,68,1895,7,6,1895-07-06
0,0,0,105,72,1895,7,7,1895-07-07
0,0,0,106,73,1895,7,8,1895-07-08
0.02,0,0,98,74,1895,7,9,1895-07-09
0,0,0,98,71,1895,7,10,1895-07-10
0,0,0,99,71,1895,7,11,1895-07-11
0,0,0,99,70,1895,7,12,1895-07-12
0,0,0,101,74,1895,7,13,1895-07-13
0,0,0,102,72,1895,7,14,1895-07-14
0,0,0,105,69,1895,7,15,1895-07-15
0,0,0,106,72,1895,7,16,1895-07-16
0,0,0,104,74,1895,7,17,1895-07-17
0,0,0,104,74,1895,7,18,1895-07-18
0,0,0,104,71,1895,7,19,1895-07-19
0,0,0,99,74,1895,7,20,1895-07-20
0.02,0,0,94,71,1895,7,21,1895-07-21
0,0,0,97,63,1895,7,22,1895-07-22
0,0,0,100,70,1895,7,23,1895-07-23
0,0,0,101,75,1895,7,24,1895-07-24
0.03,0,0,99,74,1895,7,25,1895-07-25
0.04,0,0,89,72,1895,7,26,1895-07-26
0,0,0,93,75,1895,7,27,1895-07-27
0,0,0,100,73,1895,7,28,1895-07-28
0,0,0,,,1895,7,29,1895-07-29
0,0,0,102,73,1895,7,30,1895-07-30
0,0,0,94,75,1895,7,31,1895-07-31
0.3,0,0,92,67,1895,8,1,1895-08-01
0,0,0,98,68,1895,8,2,1895-08-02
0,0,0,104,72,1895,8,3,1895-08-03
0,0,0,104,77,1895,8,4,1895-08-04
0,0,0,106,76,1895,8,5,1895-08-05
0.88,0,0,100,65,1895,8,6,1895-08-06
0.12,0,0,98,70,1895,8,7,1895-08-07
1.4,0,0,94,61,1895,8,8,1895-08-08
0.08,0,0,93,72,1895,8,9,1895-08-09
0.02,0,0,94,69,1895,8,10,1895-08-10
0.01,0,0,94,69,1895,8,11,1895-08-11
0,0,0,97,72,1895,8,12,1895-08-12
0,0,0,95,73,1895,8,13,1895-08-13
0,0,0,98,73,1895,8,14,1895-08-14
0.1,0,0,98,70,1895,8,15,1895-08-15
0,0,0,102,73,1895,8,16,1895-08-16
0,0,0,103,76,1895,8,17,1895-08-17
0,0,0,102,71,1895,8,18,1895-08-18
0.04,0,0,101,74,1895,8,19,1895-08-19
0,0,0,99,72,1895,8,20,1895-08-20
0.11,0,0,94,62,1895,8,21,1895-08-21
1,0,0,84,62,1895,8,22,1895-08-22
0,0,0,92,68,1895,8,23,1895-08-23
0,0,0,94,69,1895,8,24,1895-08-24
0.04,0,0,91,71,1895,8,25,1895-08-25
0.12,0,0,87,68,1895,8,26,1895-08-26
0.26,0,0,91,68,1895,8,27,1895-08-27
0,0,0,93,66,1895,8,28,1895-08-28
0,0,0,95,64,1895,8,29,1895-08-29
0,0,0,97,63,1895,8,30,1895-08-30
0,0,0,100,62,1895,8,31,1895-08-31
0,0,0,97,74,1895,9,1,1895-09-01
0,0,0,100,69,1895,9,2,1895-09-02
0,0,0,99,63,1895,9,3,1895-09-03
0,0,0,98,70,1895,9,4,1895-09-04
0,0,0,98,67,1895,9,5,1895-09-05
0,0,0,100,58,1895,9,6,1895-09-06
0,0,0,102,60,1895,9,7,1895-09-07
0,0,0,100,67,1895,9,8,1895-09-08
0,0,0,98,74,1895,9,9,1895-09-09
0,0,0,100,68,1895,9,10,1895-09-10
0,0,0,102,66,1895,9,11,1895-09-11
0,0,0,104,70,1895,9,12,1895-09-12
0,0,0,107,68,1895,9,13,1895-09-13
0,0,0,103,69,1895,9,14,1895-09-14
0,0,0,104,68,1895,9,15,1895-09-15
0,0,0,104,67,1895,9,16,1895-09-16
0.02,0,0,99,71,1895,9,17,1895-09-17
0.03,0,0,96,69,1895,9,18,1895-09-18
0.09,0,0,94,69,1895,9,19,1895-09-19
0.02,0,0,89,65,1895,9,20,1895-09-20
0,0,0,91,69,1895,9,21,1895-09-21
0,0,0,88,50,1895,9,22,1895-09-22
0.03,0,0,82,59,1895,9,23,1895-09-23
0.15,0,0,83,57,1895,9,24,1895-09-24
0,0,0,92,59,1895,9,25,1895-09-25
0,0,0,96,59,1895,9,26,1895-09-26
0,0,0,96,61,1895,9,27,1895-09-27
0,0,0,94,68,1895,9,28,1895-09-28
0.41,0,0,90,63,1895,9,29,1895-09-29
0,0,0,86,59,1895,9,30,1895-09-30
0,0,0,80,58,1895,10,1,1895-10-01
0,0,0,80,66,1895,10,2,1895-10-02
0.01,0,0,88,60,1895,10,3,1895-10-03
0.25,0,0,77,54,1895,10,4,1895-10-04
0,0,0,84,54,1895,10,5,1895-10-05
0,0,0,84,50,1895,10,6,1895-10-06
0,0,0,84,49,1895,10,7,1895-10-07
0,0,0,89,52,1895,10,8,1895-10-08
0,0,0,90,57,1895,10,9,1895-10-09
0,0,0,91,54,1895,10,10,1895-10-10
0,0,0,93,50,1895,10,11,1895-10-11
0,0,0,88,64,1895,10,12,1895-10-12
0,0,0,90,58,1895,10,13,1895-10-13
0,0,0,91,54,1895,10,14,1895-10-14
0,0,0,91,57,1895,10,15,1895-10-15
0,0,0,91,54,1895,10,16,1895-10-16
0,0,0,90,51,1895,10,17,1895-10-17
0,0,0,90,68,1895,10,18,1895-10-18
0,0,0,89,54,1895,10,19,1895-10-19
0,0,0,83,54,1895,10,20,1895-10-20
0,0,0,89,50,1895,10,21,1895-10-21
0,0,0,79,48,1895,10,22,1895-10-22
0,0,0,81,44,1895,10,23,1895-10-23
0,0,0,81,43,1895,10,24,1895-10-24
0,0,0,85,45,1895,10,25,1895-10-25
0,0,0,86,46,1895,10,26,1895-10-26
0.26,0,0,83,52,1895,10,27,1895-10-27
0.12,0,0,86,51,1895,10,28,1895-10-28
0.04,0,0,76,48,1895,10,29,1895-10-29
0,0,0,78,44,1895,10,30,1895-10-30
0,0,0,74,38,1895,10,31,1895-10-31
0,0,0,76,47,1895,11,1,1895-11-01
0,0,0,73,49,1895,11,2,1895-11-02
0.73,0,0,72,47,1895,11,3,1895-11-03
0,0,0,65,46,1895,11,4,1895-11-04
0.29,0,0,69,44,1895,11,5,1895-11-05
0,0,0,72,39,1895,11,6,1895-11-06
0,0,0,72,38,1895,11,7,1895-11-07
0,0,0,72,38,1895,11,8,1895-11-08
0,0,0,69,40,1895,11,9,1895-11-09
0,0,0,70,44,1895,11,10,1895-11-10
0,0,0,74,49,1895,11,11,1895-11-11
0.43,0,0,68,43,1895,11,12,1895-11-12
0.02,0,0,63,35,1895,11,13,1895-11-13
0,0,0,65,32,1895,11,14,1895-11-14
0,0,0,66,31,1895,11,15,1895-11-15
0,0,0,72,41,1895,11,16,1895-11-16
0,0,0,78,49,1895,11,17,1895-11-17
0,0,0,81,40,1895,11,18,1895-11-18
0,0,0,80,41,1895,11,19,1895-11-19
0,0,0,82,40,1895,11,20,1895-11-20
0,0,0,83,46,1895,11,21,1895-11-21
0,0,0,73,46,1895,11,22,1895-11-22
1.83,0,0,64,42,1895,11,23,1895-11-23
0.91,0,0,53,32,1895,11,24,1895-11-24
0.09,0,0,58,27,1895,11,25,1895-11-25
0,0,0,62,28,1895,11,26,1895-11-26
0,0,0,67,35,1895,11,27,1895-11-27
0,0,0,70,33,1895,11,28,1895-11-28
0,0,0,75,36,1895,11,29,1895-11-29
0,0,0,67,35,1895,11,30,1895-11-30
0,0,0,66,32,1895,12,1,1895-12-01
0,0,0,67,30,1895,12,2,1895-12-02
0,0,0,69,32,1895,12,3,1895-12-03
0,0,0,85,37,1895,12,4,1895-12-04
0,0,0,73,40,1895,12,5,1895-12-05
0,0,0,74,34,1895,12,6,1895-12-06
0,0,0,72,29,1895,12,7,1895-12-07
0,0,0,72,36,1895,12,8,1895-12-08
0,0,0,71,39,1895,12,9,1895-12-09
0,0,0,77,36,1895,12,10,1895-12-10
0,0,0,74,30,1895,12,11,1895-12-11
0,0,0,77,33,1895,12,12,1895-12-12
0,0,0,77,42,1895,12,13,1895-12-13
0,0,0,75,37,1895,12,14,1895-12-14
0,0,0,73,36,1895,12,15,1895-12-15
0,0,0,67,40,1895,12,16,1895-12-16
0.07,0,0,56,38,1895,12,17,1895-12-17
0,0,0,55,29,1895,12,18,1895-12-18
0,0,0,56,19,1895,12,19,1895-12-19
0,0,0,67,26,1895,12,20,1895-12-20
0,0,0,63,31,1895,12,21,1895-12-21
0.01,0,0,64,44,1895,12,22,1895-12-22
0,0,0,60,33,1895,12,23,1895-12-23
0,0,0,57,24,1895,12,24,1895-12-24
0,0,0,67,22,1895,12,25,1895-12-25
0,0,0,56,16,1895,12,26,1895-12-26
0,0,0,57,20,1895,12,27,1895-12-27
0,0,0,66,23,1895,12,28,1895-12-28
0,0,0,51,26,1895,12,29,1895-12-29
0,0,0,56,14,1895,12,30,1895-12-30
0,0,0,69,16,1895,12,31,1895-12-31
0,0,0,67,32,1896,1,1,1896-01-01
0,0,0,72,23,1896,1,2,1896-01-02
0,0,0,87,24,1896,1,3,1896-01-03
0,0,0,,,1896,1,4,1896-01-04
0,0,0,,,1896,1,5,1896-01-05
0,0,0,,,1896,1,6,1896-01-06
0,0,0,,,1896,1,7,1896-01-07
0,0,0,,,1896,1,8,1896-01-08
0,0,0,,,1896,1,9,1896-01-09
0,0,0,,,1896,1,10,1896-01-10
0,0,0,,,1896,1,11,1896-01-11
0,0,0,,,1896,1,12,1896-01-12
0,0,0,,,1896,1,13,1896-01-13
0,0,0,,,1896,1,14,1896-01-14
0,0,0,,,1896,1,15,1896-01-15
0,0,0,,,1896,1,16,1896-01-16
0,0,0,,,1896,1,17,1896-01-17
0,0,0,,,1896,1,18,1896-01-18
0,0,0,,,1896,1,19,1896-01-19
0,0,0,,,1896,1,20,1896-01-20
0,0,0,,,1896,1,21,1896-01-21
0,0,0,,,1896,1,22,1896-01-22
0,0,0,,,1896,1,23,1896-01-23
0,0,0,,,1896,1,24,1896-01-24
0,0,0,,,1896,1,25,1896-01-25
0,0,0,,,1896,1,26,1896-01-26
0,0,0,,,1896,1,27,1896-01-27
0.04,0,0,,,1896,1,28,1896-01-28
0.49,0,0,,,1896,1,29,1896-01-29
0,0,0,,,1896,1,30,1896-01-30
0,0,0,,,1896,1,31,1896-01-31
0,0,0,64,,1896,2,1,1896-02-01
0,0,0,64,,1896,2,2,1896-02-02
0,0,0,65,,1896,2,3,1896-02-03
0.07,0,0,57,,1896,2,4,1896-02-04
0,0,0,59,,1896,2,5,1896-02-05
0,0,0,57,,1896,2,6,1896-02-06
0,0,0,58,27,1896,2,7,1896-02-07
0,0,0,52,26,1896,2,8,1896-02-08
0,0,0,67,27,1896,2,9,1896-02-09
0,0,0,73,31,1896,2,10,1896-02-10
0.01,0,0,65,43,1896,2,11,1896-02-11
0,0,0,62,38,1896,2,12,1896-02-12
0,0,0,67,32,1896,2,13,1896-02-13
0,0,0,74,38,1896,2,14,1896-02-14
0,0,0,68,43,1896,2,15,1896-02-15
0,0,0,,41,1896,2,16,1896-02-16
0,0,0,,43,1896,2,17,1896-02-17
0,0,0,,47,1896,2,18,1896-02-18
0,0,0,,51,1896,2,19,1896-02-19
0,0,0,,51,1896,2,20,1896-02-20
0,0,0,,51,1896,2,21,1896-02-21
0,0,0,,43,1896,2,22,1896-02-22
0,0,0,,42,1896,2,23,1896-02-23
0,0,0,,51,1896,2,24,1896-02-24
0,0,0,,42,1896,2,25,1896-02-25
0,0,0,,37,1896,2,26,1896-02-26
0,0,0,,40,1896,2,27,1896-02-27
0,0,0,83,42,1896,2,28,1896-02-28
0,0,0,78,56,1896,2,29,1896-02-29
0,0,0,73,56,1896,3,1,1896-03-01
0,0,0,77,43,1896,3,2,1896-03-02
0,0,0,69,33,1896,3,3,1896-03-03
0.26,0,0,64,36,1896,3,4,1896-03-04
0.01,0,0,52,31,1896,3,5,1896-03-05
0,0,0,59,27,1896,3,6,1896-03-06
0,0,0,69,27,1896,3,7,1896-03-07
0,0,0,79,44,1896,3,8,1896-03-08
0,0,0,75,41,1896,3,9,1896-03-09
0,0,0,71,43,1896,3,10,1896-03-10
0,0,0,75,36,1896,3,11,1896-03-11
0,0,0,79,38,1896,3,12,1896-03-12
0,0,0,83,40,1896,3,13,1896-03-13
0,0,0,79,50,1896,3,14,1896-03-14
0,0,0,83,45,1896,3,15,1896-03-15
0,0,0,80,43,1896,3,16,1896-03-16
0,0,0,83,45,1896,3,17,1896-03-17
0,0,0,80,42,1896,3,18,1896-03-18
0,0,0,86,39,1896,3,19,1896-03-19
0,0,0,88,45,1896,3,20,1896-03-20
0,0,0,87,46,1896,3,21,1896-03-21
0,0,0,86,56,1896,3,22,1896-03-22
0,0,0,92,48,1896,3,23,1896-03-23
0,0,0,93,54,1896,3,24,1896-03-24
0,0,0,94,55,1896,3,25,1896-03-25
0,0,0,93,58,1896,3,26,1896-03-26
0,0,0,79,60,1896,3,27,1896-03-27
0,0,0,78,53,1896,3,28,1896-03-28
0,0,0,72,50,1896,3,29,1896-03-29
0,0,0,76,41,1896,3,30,1896-03-30
0,0,0,74,58,1896,3,31,1896-03-31
0,0,0,75,37,1896,4,1,1896-04-01
0,0,0,76,47,1896,4,2,1896-04-02
0,0,0,78,54,1896,4,3,1896-04-03
0,0,0,83,44,1896,4,4,1896-04-04
0,0,0,86,56,1896,4,5,1896-04-05
0,0,0,91,47,1896,4,6,1896-04-06
0,0,0,91,46,1896,4,7,1896-04-07
0,0,0,90,45,1896,4,8,1896-04-08
0,0,0,93,47,1896,4,9,1896-04-09
0,0,0,90,59,1896,4,10,1896-04-10
0.12,0,0,61,40,1896,4,11,1896-04-11
0,0,0,71,41,1896,4,12,1896-04-12
0,0,0,79,42,1896,4,13,1896-04-13
0,0,0,85,50,1896,4,14,1896-04-14
0,0,0,84,50,1896,4,15,1896-04-15
0,0,0,79,53,1896,4,16,1896-04-16
0,0,0,74,43,1896,4,17,1896-04-17
0,0,0,70,31,1896,4,18,1896-04-18
0,0,0,81,33,1896,4,19,1896-04-19
0,0,0,84,40,1896,4,20,1896-04-20
0,0,0,88,42,1896,4,21,1896-04-21
0,0,0,85,50,1896,4,22,1896-04-22
0,0,0,82,42,1896,4,23,1896-04-23
0,0,0,83,40,1896,4,24,1896-04-24
0,0,0,91,41,1896,4,25,1896-04-25
0,0,0,87,49,1896,4,26,1896-04-26
0,0,0,81,55,1896,4,27,1896-04-27
0,0,0,79,41,1896,4,28,1896-04-28
0,0,0,89,44,1896,4,29,1896-04-29
0,0,0,90,46,1896,4,30,1896-04-30
0,0,0,87,45,1896,5,1,1896-05-01
0,0,0,90,46,1896,5,2,1896-05-02
0,0,0,91,52,1896,5,3,1896-05-03
0,0,0,92,48,1896,5,4,1896-05-04
0,0,0,88,52,1896,5,5,1896-05-05
0,0,0,84,54,1896,5,6,1896-05-06
0,0,0,88,46,1896,5,7,1896-05-07
0,0,0,82,46,1896,5,8,1896-05-08
0,0,0,82,40,1896,5,9,1896-05-09
0,0,0,86,43,1896,5,10,1896-05-10
0,0,0,86,47,1896,5,11,1896-05-11
0,0,0,86,58,1896,5,12,1896-05-12
0,0,0,86,48,1896,5,13,1896-05-13
0,0,0,88,46,1896,5,14,1896-05-14
0,0,0,93,58,1896,5,15,1896-05-15
0,0,0,91,49,1896,5,16,1896-05-16
0,0,0,96,52,1896,5,17,1896-05-17
0,0,0,92,56,1896,5,18,1896-05-18
0,0,0,91,54,1896,5,19,1896-05-19
0,0,0,92,52,1896,5,20,1896-05-20
0,0,0,94,63,1896,5,21,1896-05-21
0,0,0,93,55,1896,5,22,1896-05-22
0,0,0,94,54,1896,5,23,1896-05-23
0,0,0,100,66,1896,5,24,1896-05-24
0,0,0,105,70,1896,5,25,1896-05-25
0,0,0,106,68,1896,5,26,1896-05-26
0,0,0,103,68,1896,5,27,1896-05-27
0,0,0,106,70,1896,5,28,1896-05-28
0,0,0,98,77,1896,5,29,1896-05-29
0,0,0,92,66,1896,5,30,1896-05-30
0,0,0,92,56,1896,5,31,1896-05-31
0,0,0,96,65,1896,6,1,1896-06-01
0,0,0,97,63,1896,6,2,1896-06-02
0,0,0,95,59,1896,6,3,1896-06-03
0,0,0,94,,1896,6,4,1896-06-04
0,0,0,96,59,1896,6,5,1896-06-05
0,0,0,95,62,1896,6,6,1896-06-06
0,0,0,98,64,1896,6,7,1896-06-07
0,0,0,101,65,1896,6,8,1896-06-08
0,0,0,104,66,1896,6,9,1896-06-09
0,0,0,110,71,1896,6,10,1896-06-10
0,0,0,107,69,1896,6,11,1896-06-11
0,0,0,105,76,1896,6,12,1896-06-12
0,0,0,108,77,1896,6,13,1896-06-13
0,0,0,108,75,1896,6,14,1896-06-14
0,0,0,110,77,1896,6,15,1896-06-15
0,0,0,,76,1896,6,16,1896-06-16
0.02,0,0,,76,1896,6,17,1896-06-17
0,0,0,,79,1896,6,18,1896-06-18
0,0,0,,75,1896,6,19,1896-06-19
0,0,0,,76,1896,6,20,1896-06-20
0,0,0,102,75,1896,6,21,1896-06-21
0,0,0,103,70,1896,6,22,1896-06-22
0,0,0,102,64,1896,6,23,1896-06-23
0,0,0,100,66,1896,6,24,1896-06-24
0,0,0,96,77,1896,6,25,1896-06-25
0.17,0,0,96,66,1896,6,26,1896-06-26
0,0,0,99,69,1896,6,27,1896-06-27
0,0,0,102,72,1896,6,28,1896-06-28
0,0,0,102,74,1896,6,29,1896-06-29
0,0,0,101,78,1896,6,30,1896-06-30
0,0,0,101,77,1896,7,1,1896-07-01
0,0,0,96,74,1896,7,2,1896-07-02
0,0,0,100,77,1896,7,3,1896-07-03
0.24,0,0,92,75,1896,7,4,1896-07-04
0,0,0,97,70,1896,7,5,1896-07-05
0,0,0,100,78,1896,7,6,1896-07-06
0,0,0,100,79,1896,7,7,1896-07-07
0,0,0,102,74,1896,7,8,1896-07-08
0,0,0,103,78,1896,7,9,1896-07-09
0.07,0,0,100,81,1896,7,10,1896-07-10
0.02,0,0,104,77,1896,7,11,1896-07-11
0.02,0,0,104,74,1896,7,12,1896-07-12
0.38,0,0,102,75,1896,7,13,1896-07-13
0.09,0,0,95,76,1896,7,14,1896-07-14
0.47,0,0,87,70,1896,7,15,1896-07-15
0,0,0,95,73,1896,7,16,1896-07-16
0.06,0,0,95,74,1896,7,17,1896-07-17
0,0,0,90,71,1896,7,18,1896-07-18
0.14,0,0,94,79,1896,7,19,1896-07-19
0.59,0,0,88,72,1896,7,20,1896-07-20
0.13,0,0,89,73,1896,7,21,1896-07-21
0.65,0,0,90,73,1896,7,22,1896-07-22
0.06,0,0,94,71,1896,7,23,1896-07-23
0,0,0,90,70,1896,7,24,1896-07-24
0.25,0,0,93,70,1896,7,25,1896-07-25
0,0,0,90,67,1896,7,26,1896-07-26
0,0,0,96,71,1896,7,27,1896-07-27
0,0,0,97,74,1896,7,28,1896-07-28
0.24,0,0,97,74,1896,7,29,1896-07-29
0,0,0,99,74,1896,7,30,1896-07-30
